host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,amenities_count,host_experience_days
no response,0.0,0.0,False,2.0,True,True,South Riverdale,43.66393,-79.33823,Entire home,Entire home/apt,5,3.0,2.0,240.0,28,1125,0,0,0,0,3,0,0,4.67,4.67,4.0,5.0,5.0,5.0,5.0,False,0.05,47,750.0
within a few hours,1.0,0.52,True,11.0,True,True,Ionview,43.73605,-79.27611,Private room in bungalow,Private room,2,1.0,1.0,55.0,28,365,5,27,27,242,24,6,1,4.92,4.96,4.79,4.96,4.92,4.75,4.79,False,0.4,31,3324.0
no response,0.0,0.0,False,3.0,True,True,Islington-City Centre West,43.64034,-79.55403,Entire guest suite,Entire home/apt,2,1.0,1.0,40.0,28,32,0,0,0,0,28,0,0,4.85,4.85,4.85,4.81,4.89,4.78,4.74,False,0.47,29,2708.0
no response,0.0,0.0,False,1.0,True,False,Church-Yonge Corridor,43.66634,-79.38051,Entire rental unit,Entire home/apt,3,2.0,2.0,196.0,28,30,0,0,0,0,1,0,0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,False,0.02,16,2574.0
within an hour,1.0,0.97,False,4.0,True,True,Newtonbrook West,43.78017,-79.41825,Entire condo,Entire home/apt,5,3.0,4.0,200.0,28,1125,17,23,27,117,177,4,0,4.86,4.88,4.75,4.86,4.92,4.88,4.79,True,2.95,60,2943.0
no response,0.0,0.0,False,9.0,True,True,East End-Danforth,43.69102,-79.29536,Entire home,Entire home/apt,3,2.0,2.0,75.0,28,30,0,0,0,0,14,0,0,4.64,4.57,4.79,4.79,4.86,4.57,4.5,False,0.23,23,2652.0
no response,0.0,0.0,False,1.0,True,True,Birchcliffe-Cliffside,43.6866,-79.28487,Entire guest suite,Entire home/apt,2,1.0,1.0,57.0,28,1125,0,0,0,0,18,0,0,4.75,4.94,4.75,5.0,4.94,4.75,4.88,True,0.3,16,2786.0
within an hour,1.0,0.96,True,1.0,True,True,Waterfront Communities-The Island,43.644436,-79.401115,Entire condo,Entire home/apt,2,1.0,1.0,345.0,4,90,9,39,69,153,134,17,2,4.87,4.98,4.92,4.9,4.89,4.97,4.82,False,2.26,20,3339.0
no response,0.0,0.0,False,1.0,True,False,Bathurst Manor,43.75995,-79.44032,Entire townhouse,Entire home/apt,6,3.0,4.0,100.0,28,30,0,0,0,0,2,0,0,5.0,5.0,5.0,5.0,5.0,4.5,4.5,False,0.03,27,3339.0
no response,0.0,0.0,False,2.0,True,False,Waterfront Communities-The Island,43.64871,-79.39529,Entire condo,Entire home/apt,2,1.0,1.0,170.0,28,1125,0,0,0,0,6,0,0,4.33,4.33,4.33,4.17,4.0,4.33,4.17,True,0.1,15,3313.0
no response,0.0,0.0,False,1.0,True,True,Niagara,43.63701,-79.41543,Entire rental unit,Entire home/apt,2,1.0,2.0,120.0,28,1125,0,0,0,0,23,0,0,5.0,4.91,4.96,5.0,5.0,4.96,4.96,False,0.38,22,2784.0
within an hour,1.0,1.0,False,1.0,True,True,Waterfront Communities-The Island,43.64179,-79.38187,Entire condo,Entire home/apt,4,2.0,2.0,493.0,1,1125,7,37,67,341,3,3,3,4.33,4.67,4.33,4.67,4.0,4.67,4.67,True,3.0,54,2127.0
within an hour,1.0,1.0,False,1.0,True,True,Casa Loma,43.67551,-79.40712,Entire rental unit,Entire home/apt,4,1.0,2.0,92.0,28,180,2,2,31,120,78,8,0,4.67,4.73,4.86,4.95,4.92,4.74,4.63,True,1.3,34,3339.0
within an hour,0.9,0.89,False,6.0,True,True,Oakridge,43.70003,-79.27618,Private room in guesthouse,Private room,2,1.0,1.0,58.0,28,60,5,23,53,53,9,5,0,4.67,4.44,4.22,4.89,4.78,4.67,4.44,False,0.15,17,3265.0
no response,0.0,0.0,False,17.0,True,True,Tam O'Shanter-Sullivan,43.76987,-79.31172,Entire home,Entire home/apt,5,2.0,2.0,79.0,28,1125,0,0,0,0,31,0,0,3.93,4.23,3.93,4.53,4.5,4.43,3.97,True,0.52,18,3339.0
within an hour,1.0,1.0,False,20.0,True,True,Dorset Park,43.76243,-79.28383,Private room in home,Private room,1,1.0,1.0,76.0,1,1125,8,38,68,343,39,4,1,4.33,4.62,4.56,4.56,4.67,4.56,4.26,True,0.65,17,3188.0
within an hour,1.0,0.0,False,4.0,True,True,Banbury-Don Mills,43.73807,-79.33854,Private room in home,Private room,1,1.0,1.0,105.0,28,1125,1,1,1,1,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0.03,16,2004.0
within an hour,1.0,0.89,False,3.0,True,True,Willowdale West,43.76895,-79.4238,Entire home,Entire home/apt,3,1.0,2.0,98.0,28,1125,6,36,66,341,18,4,1,4.67,4.83,4.67,4.72,4.72,4.59,4.53,False,0.3,37,3019.0
no response,0.0,0.0,False,2.0,True,False,Pleasant View,43.78023,-79.33296,Private room in home,Private room,2,1.0,2.0,31.0,28,1125,0,0,0,0,8,0,0,4.75,5.0,4.5,5.0,5.0,4.75,5.0,True,0.13,14,2859.0
within an hour,1.0,0.78,False,2.0,True,True,Waterfront Communities-The Island,43.647518,-79.3927,Entire rental unit,Entire home/apt,2,1.0,2.0,231.0,2,20,4,20,20,20,239,43,2,4.72,4.77,4.62,4.85,4.92,4.96,4.71,False,4.01,33,2285.0
no response,0.0,0.0,False,1.0,True,True,Church-Yonge Corridor,43.66491,-79.38239,Entire condo,Entire home/apt,5,2.0,2.0,150.0,28,1125,0,0,0,0,3,0,0,4.0,4.33,3.0,4.33,4.33,5.0,4.67,False,0.05,18,2742.0
within an hour,0.96,1.0,False,3.0,True,True,North Riverdale,43.66935,-79.35123,Entire rental unit,Entire home/apt,2,1.0,1.0,154.0,28,30,0,0,14,275,290,67,2,4.89,4.99,4.9,4.97,4.92,4.91,4.93,False,4.88,21,3041.0
within an hour,0.73,1.0,False,11.0,True,True,North Riverdale,43.67815,-79.34819,Entire rental unit,Entire home/apt,2,1.0,1.0,90.0,28,1125,1,1,6,96,132,2,0,4.8,4.89,4.8,4.83,4.91,4.87,4.72,True,2.23,26,2278.0
no response,0.0,0.0,False,1.0,True,False,Don Valley Village,43.77737,-79.34874,Entire rental unit,Entire home/apt,2,1.0,1.0,45.0,28,40,0,0,0,0,1,0,0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,False,0.02,14,3320.0
within a day,0.89,0.75,False,8.0,True,True,Bayview Woods-Steeles,43.80462,-79.37408,Private room in home,Private room,2,1.0,1.0,78.0,28,29,0,0,0,0,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,0.02,20,3167.0
within an hour,1.0,1.0,False,2.0,True,True,Clairlea-Birchmount,43.70375,-79.27305,Entire rental unit,Entire home/apt,4,2.0,2.0,130.0,28,1125,16,35,65,155,71,25,3,4.72,4.82,4.66,4.9,4.76,4.73,4.68,True,1.21,26,3341.0
no response,0.0,1.0,False,4.0,True,True,Palmerston-Little Italy,43.65915,-79.41221,Private room in rental unit,Private room,2,1.0,1.0,73.0,1,10,0,0,0,0,45,0,0,4.8,4.86,4.84,4.8,4.73,4.8,4.77,True,0.79,34,1278.0
within an hour,1.0,0.86,False,2.0,True,True,Mount Pleasant West,43.70341,-79.39141,Entire home,Entire home/apt,6,3.0,3.0,620.0,7,365,15,45,75,75,74,0,0,4.88,4.82,4.82,4.93,4.91,5.0,4.69,False,1.24,40,1943.0
no response,0.0,0.0,False,1.0,True,False,Niagara,43.64087,-79.41305,Entire condo,Entire home/apt,4,2.0,2.0,169.0,28,1125,0,0,0,0,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0.02,20,2699.0
within an hour,0.73,1.0,False,11.0,True,True,North Riverdale,43.67802,-79.34825,Entire rental unit,Entire home/apt,2,1.0,1.0,80.0,28,1125,0,0,0,79,284,3,0,4.76,4.81,4.83,4.88,4.88,4.92,4.75,True,4.74,23,2278.0
no response,0.0,1.0,False,10.0,True,True,Lansing-Westgate,43.75982,-79.41595,Private room in home,Private room,2,1.0,1.0,45.0,90,1125,0,0,0,0,30,0,0,4.47,4.73,4.53,4.8,4.73,4.83,4.5,True,0.5,34,3335.0
no response,0.0,0.0,False,6.0,True,True,Trinity-Bellwoods,43.65403,-79.42198,Entire home,Entire home/apt,9,4.0,4.0,251.0,28,1125,0,0,0,0,3,0,0,4.33,5.0,5.0,4.33,4.67,4.67,5.0,False,0.05,42,2764.0
no response,0.0,0.0,False,6.0,True,True,Trinity-Bellwoods,43.65327,-79.4221,Private room in home,Private room,2,1.0,2.0,65.0,28,1125,0,0,0,0,4,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0.07,28,2764.0
within an hour,0.73,1.0,False,11.0,True,True,North Riverdale,43.67802,-79.34825,Entire rental unit,Entire home/apt,3,1.0,2.0,99.0,28,1125,7,21,30,245,101,4,0,4.78,4.91,4.81,4.77,4.78,4.92,4.81,True,1.72,27,2278.0
within an hour,0.99,0.75,False,29.0,True,True,Willowdale East,43.75673,-79.40394,Entire rental unit,Entire home/apt,4,2.0,3.0,240.0,28,365,0,0,0,0,4,0,0,5.0,5.0,5.0,5.0,5.0,4.75,5.0,True,0.08,31,2009.0
within a day,0.88,0.71,False,145.0,True,True,Waterfront Communities-The Island,43.64317,-79.39289,Entire condo,Entire home/apt,6,3.0,4.0,315.0,30,100,29,29,29,29,17,1,0,4.88,4.88,5.0,4.41,4.76,5.0,5.0,False,0.28,33,1062.0
within an hour,1.0,0.85,True,3.0,True,True,Kensington-Chinatown,43.6514,-79.39697,Entire condo,Entire home/apt,2,1.0,1.0,200.0,28,100,8,37,37,37,187,3,0,4.79,4.88,4.81,4.74,4.8,4.93,4.82,False,3.13,55,1849.0
within a few hours,1.0,0.52,True,11.0,True,True,Ionview,43.73602,-79.27595,Private room in bungalow,Private room,4,1.0,2.0,55.0,28,365,0,0,0,236,29,1,0,4.9,4.93,4.93,5.0,5.0,4.79,4.9,False,0.48,31,3324.0
within a day,0.67,0.0,False,1.0,True,True,North St.James Town,43.67206,-79.37587,Private room in condo,Private room,4,2.0,2.0,250.0,28,46,27,57,87,267,15,0,0,4.8,4.8,4.67,4.93,4.93,4.93,4.67,False,0.25,30,2346.0
within a few hours,1.0,0.75,False,2.0,True,True,Clanton Park,43.73575,-79.4461,Entire guest suite,Entire home/apt,2,1.0,1.0,90.0,28,1125,21,51,81,81,65,2,0,4.8,4.8,4.95,4.94,4.88,4.85,4.57,False,1.08,23,1797.0
no response,0.0,0.0,False,1.0,True,True,Willowdale East,43.77495,-79.40297,Entire villa,Entire home/apt,4,5.0,2.0,651.0,28,1125,0,0,0,0,10,0,0,5.0,4.7,4.9,5.0,4.6,5.0,5.0,True,0.17,35,3175.0
within an hour,1.0,1.0,True,3.0,True,True,Dovercourt-Wallace Emerson-Junction,43.66835,-79.42524,Entire guest suite,Entire home/apt,1,1.0,1.0,105.0,30,1125,2,2,31,57,21,9,0,4.95,4.9,5.0,4.81,4.95,4.81,4.86,False,0.62,41,997.0
within a few hours,0.9,0.97,False,2.0,True,True,High Park North,43.65367,-79.47324,Entire rental unit,Entire home/apt,2,1.0,1.0,94.0,3,1125,6,14,36,302,159,35,2,4.83,4.94,4.91,4.91,4.93,4.89,4.82,False,2.66,34,3344.0
no response,0.0,0.0,False,1.0,True,False,Birchcliffe-Cliffside,43.68295,-79.28493,Entire home,Entire home/apt,6,2.0,3.0,70.0,28,1125,0,0,0,0,21,0,0,4.78,4.89,4.83,4.89,4.67,4.5,4.83,True,0.36,20,3344.0
no response,0.0,0.0,False,2.0,True,True,Kensington-Chinatown,43.64934,-79.40238,Private room in home,Private room,2,1.0,1.0,65.0,28,1125,0,0,0,0,3,0,0,5.0,5.0,4.67,5.0,5.0,5.0,5.0,True,0.05,17,3289.0
no response,0.0,0.0,False,3.0,True,True,Roncesvalles,43.64474,-79.43647,Private room in home,Private room,1,1.0,1.0,65.0,28,90,0,0,0,0,21,0,0,4.81,4.86,4.52,4.95,4.86,4.71,4.71,False,0.36,16,2318.0
no response,0.0,0.0,False,6.0,True,True,Trinity-Bellwoods,43.65365,-79.42215,Private room in guesthouse,Private room,2,1.0,1.0,44.0,28,1125,0,0,0,0,2,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0.03,30,2764.0
no response,0.0,0.0,False,6.0,True,True,Trinity-Bellwoods,43.65367,-79.42055,Private room in home,Private room,2,1.0,1.0,44.0,28,1125,0,0,0,0,5,0,0,4.8,5.0,5.0,5.0,5.0,5.0,5.0,False,0.09,34,2764.0
within a day,0.5,1.0,False,9.0,True,True,Oakwood Village,43.69643,-79.44295,Private room in rental unit,Private room,2,1.0,1.0,44.0,28,1125,0,9,39,39,98,0,0,4.32,4.52,4.49,4.76,4.44,3.96,4.44,True,1.63,25,3092.0
no response,0.0,0.0,False,4.0,True,True,Bay Street Corridor,43.66656,-79.387,Private room in rental unit,Private room,2,1.0,1.0,300.0,28,1125,0,0,0,0,49,0,0,4.88,4.92,4.84,4.92,4.98,4.94,4.88,True,0.82,33,2582.0
within a few hours,0.94,0.78,False,11.0,True,True,Willowdale West,43.77015,-79.41836,Private room in home,Private room,2,1.0,1.0,37.0,30,1125,3,23,53,53,21,3,1,4.67,4.76,4.71,4.86,5.0,4.86,4.81,False,0.4,24,2942.0
no response,0.0,1.0,False,2.0,True,True,Dovercourt-Wallace Emerson-Junction,43.66642,-79.44638,Private room in condo,Private room,2,1.0,1.0,70.0,28,1125,0,0,0,0,57,2,0,4.95,4.96,4.98,4.95,5.0,4.86,4.93,True,1.22,54,2727.0
no response,0.0,0.0,False,1.0,True,True,Willowridge-Martingrove-Richview,43.68215,-79.55305,Private room in home,Private room,2,1.0,1.0,44.0,28,1125,0,0,0,0,12,0,0,4.91,5.0,5.0,5.0,5.0,4.73,4.91,True,0.2,13,2875.0
within a few hours,1.0,0.52,True,11.0,True,True,Ionview,43.73596,-79.27735,Private room in bungalow,Private room,2,1.0,1.0,55.0,28,1095,0,0,2,249,27,6,0,4.81,4.81,4.81,4.93,4.89,4.52,4.63,False,0.45,29,3324.0
within an hour,1.0,0.98,True,5.0,True,True,Weston,43.70136,-79.51777,Private room in home,Private room,2,1.0,1.0,93.0,29,93,23,53,83,83,34,7,0,5.0,4.97,4.94,5.0,5.0,4.85,4.76,True,0.57,28,3135.0
within a few hours,1.0,0.91,False,1.0,True,True,Mimico (includes Humber Bay Shores),43.62392,-79.48909,Entire condo,Entire home/apt,2,1.0,1.0,120.0,28,365,1,14,44,319,136,7,1,4.61,4.78,4.74,4.62,4.72,4.75,4.71,False,2.27,32,3324.0
within an hour,1.0,0.97,True,18.0,True,True,Waterfront Communities-The Island,43.64249,-79.383,Entire condo,Entire home/apt,7,3.0,4.0,670.0,3,365,2,5,16,165,174,45,5,4.87,4.89,4.78,4.8,4.92,4.96,4.76,False,2.95,41,3316.0
no response,0.0,0.0,False,3.0,True,False,South Parkdale,43.63795,-79.43645,Private room in rental unit,Private room,2,2.0,2.0,100.0,28,30,0,0,0,0,7,0,0,5.0,5.0,4.71,5.0,4.86,4.86,5.0,True,0.12,30,2632.0
within a few hours,1.0,0.75,False,1.0,True,True,South Riverdale,43.66026,-79.33651,Entire rental unit,Entire home/apt,1,1.0,1.0,82.0,28,30,0,29,59,59,54,0,0,4.64,4.72,4.92,4.92,4.92,4.92,4.77,False,0.9,39,2549.0
no response,0.0,0.0,False,3.0,True,True,Steeles,43.81469,-79.33312,Private room in townhouse,Private room,2,1.0,1.0,91.0,28,1125,0,0,0,0,3,0,0,5.0,5.0,5.0,5.0,5.0,4.33,4.67,True,0.05,19,3346.0
within an hour,1.0,0.98,True,5.0,True,True,Weston,43.69943,-79.51975,Private room in home,Private room,2,1.0,1.0,90.0,29,93,19,49,79,79,33,2,1,4.94,5.0,4.91,4.97,4.97,4.85,4.84,True,0.55,29,3135.0
no response,0.0,0.0,False,7.0,True,True,Annex,43.67171,-79.41873,Private room in home,Private room,3,1.0,2.0,64.0,28,1125,0,0,0,0,15,0,0,4.73,4.73,4.67,4.93,5.0,4.53,4.6,False,0.25,30,3257.0
no response,0.0,0.0,False,7.0,True,True,Annex,43.67171,-79.41873,Private room in home,Private room,2,1.0,1.0,56.0,28,1125,0,0,0,0,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0.02,31,3257.0
within an hour,1.0,0.97,True,1.0,True,True,Waterfront Communities-The Island,43.64452,-79.38918,Entire condo,Entire home/apt,3,1.0,1.0,421.0,2,1125,3,5,16,100,69,17,1,4.88,4.91,4.88,4.75,4.88,4.94,4.81,False,1.16,26,3347.0
no response,0.0,0.0,False,7.0,True,True,Annex,43.67171,-79.41873,Private room in home,Private room,2,1.0,1.0,56.0,28,1125,0,0,0,0,8,0,0,4.75,4.88,5.0,5.0,5.0,4.88,4.88,False,0.13,30,3257.0
within an hour,1.0,0.82,True,11.0,True,True,Waterfront Communities-The Island,43.64286,-79.38073,Entire condo,Entire home/apt,2,1.0,1.0,119.0,28,365,11,11,11,270,18,0,0,4.89,4.94,4.83,4.61,5.0,4.94,4.67,False,0.3,41,1350.0
within an hour,1.0,1.0,True,4.0,True,True,Alderwood,43.60756,-79.53616,Private room in bungalow,Private room,1,1.0,1.0,56.0,1,61,5,23,53,79,248,64,17,4.93,4.95,4.89,4.99,4.99,4.85,4.92,True,4.25,32,3226.0
within an hour,1.0,1.0,True,2.0,True,True,Palmerston-Little Italy,43.65645,-79.41766,Private room in home,Private room,2,1.0,1.0,165.0,1,1125,0,0,0,0,188,61,6,4.93,4.97,4.97,4.97,4.99,4.89,4.84,False,3.12,28,2975.0
within an hour,1.0,1.0,True,1.0,True,True,Annex,43.67456306,-79.40283067,Entire rental unit,Entire home/apt,4,1.0,1.0,415.0,5,1125,14,33,63,242,82,21,2,4.93,4.96,4.91,4.96,4.95,4.89,4.79,False,1.38,51,3348.0
within an hour,1.0,0.88,False,1.0,True,True,Annex,43.66756,-79.41732,Entire home,Entire home/apt,2,1.0,1.0,125.0,2,10,5,21,51,51,285,0,0,4.87,4.94,4.86,4.99,4.97,4.88,4.87,False,4.78,26,2556.0
no response,0.0,0.0,False,1.0,True,False,Bay Street Corridor,43.65815,-79.38489,Private room in rental unit,Private room,4,2.0,2.0,100.0,28,1125,0,0,0,0,3,0,0,4.33,4.0,4.33,5.0,5.0,5.0,4.0,False,0.05,18,2741.0
within a few hours,1.0,1.0,True,1.0,True,True,South Riverdale,43.66148,-79.33988,Entire rental unit,Entire home/apt,1,1.0,1.0,69.0,28,1125,0,0,10,67,45,4,1,4.98,4.96,4.91,5.0,5.0,4.93,4.84,False,0.77,30,3349.0
within an hour,1.0,0.98,False,7.0,True,True,Junction Area,43.67671,-79.47319,Entire guest suite,Entire home/apt,2,1.0,1.0,95.0,14,1125,4,26,56,331,81,19,3,4.83,4.93,4.86,4.93,4.99,4.49,4.73,False,1.45,49,3200.0
no response,0.0,0.0,False,1.0,True,False,Waterfront Communities-The Island,43.64489,-79.3958,Entire condo,Entire home/apt,5,1.0,1.0,120.0,28,1125,0,0,0,0,2,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0.03,19,2795.0
no response,0.0,0.0,False,1.0,True,True,Dovercourt-Wallace Emerson-Junction,43.6634,-79.42293,Entire home,Entire home/apt,2,1.0,1.0,78.0,28,1125,0,0,0,0,45,0,0,4.59,4.73,4.75,4.93,4.93,4.75,4.75,True,0.78,17,1958.0
no response,0.0,0.0,False,2.0,True,False,Bay Street Corridor,43.65111,-79.38128,Entire condo,Entire home/apt,3,1.0,2.0,120.0,28,1125,0,0,0,0,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0.02,29,3366.0
within an hour,1.0,0.99,True,25.0,True,True,Kensington-Chinatown,43.65608,-79.40456,Entire rental unit,Entire home/apt,4,2.0,2.0,294.0,28,30,9,15,45,49,10,2,1,4.9,4.7,4.9,4.9,4.8,5.0,4.8,True,0.17,36,2205.0
no response,0.0,0.0,False,3.0,True,True,Kensington-Chinatown,43.64879,-79.40311,Private room in rental unit,Private room,2,1.0,1.0,100.0,28,1125,0,0,0,0,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0.02,15,1902.0
within a few hours,0.88,0.86,False,5.0,True,True,Tam O'Shanter-Sullivan,43.7812,-79.30651,Entire home,Entire home/apt,4,2.0,3.0,105.0,28,93,0,22,52,52,63,5,0,4.68,4.79,4.57,4.95,4.9,4.78,4.65,False,1.1,34,3296.0
no response,0.0,0.0,False,1.0,True,True,Bay Street Corridor,43.66645,-79.38948,Entire condo,Entire home/apt,4,2.0,2.0,599.0,28,1125,0,0,0,0,2,0,0,4.5,5.0,4.0,4.5,4.5,5.0,4.5,False,0.04,36,3349.0
within an hour,1.0,1.0,False,2.0,True,True,Humewood-Cedarvale,43.68344,-79.41969,Private room in rental unit,Private room,4,2.0,3.0,150.0,28,30,3,33,63,63,62,1,0,4.5,4.71,4.66,4.65,4.6,4.68,4.65,False,1.08,29,3194.0
within a day,1.0,0.7,True,1.0,True,True,High Park North,43.65513,-79.46358,Entire rental unit,Entire home/apt,2,1.0,1.0,95.0,28,210,2,4,4,46,28,6,0,5.0,4.96,4.89,4.96,5.0,4.96,4.89,False,0.48,32,2821.0
no response,0.0,0.0,False,1.0,True,False,Niagara,43.64225,-79.41307,Private room in townhouse,Private room,2,1.0,1.0,85.0,28,31,0,0,0,0,2,0,0,4.5,5.0,4.5,5.0,5.0,5.0,5.0,True,0.03,11,2444.0
no response,0.0,0.0,False,2.0,True,False,Cabbagetown-South St.James Town,43.66717,-79.37093,Entire rental unit,Entire home/apt,2,1.0,1.0,42.0,28,31,0,0,0,0,3,0,0,4.33,4.0,3.33,5.0,4.33,5.0,4.0,False,0.05,7,3366.0
within an hour,1.0,0.9,False,1.0,True,True,Etobicoke West Mall,43.64,-79.56326,Private room in condo,Private room,2,1.0,1.0,65.0,1,60,2,2,7,7,61,22,7,4.79,4.89,4.84,4.92,4.93,4.64,4.74,False,1.03,16,3277.0
no response,0.0,0.0,False,2.0,True,True,Waterfront Communities-The Island,43.64527,-79.39558,Entire rental unit,Entire home/apt,2,1.0,1.0,130.0,28,1125,0,0,0,0,1,0,0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,False,0.02,17,1416.0
within an hour,1.0,1.0,False,20.0,True,True,Dorset Park,43.76243,-79.28383,Private room in home,Private room,2,1.0,2.0,159.0,1,1125,30,60,90,365,26,1,0,4.38,4.62,4.58,4.69,4.5,4.31,4.38,True,0.49,15,3188.0
no response,0.0,0.0,False,1.0,True,True,North Riverdale,43.67588,-79.35127,Entire rental unit,Entire home/apt,4,1.0,2.0,85.0,28,30,0,0,0,0,40,0,0,4.93,4.98,4.93,5.0,4.95,4.98,4.95,False,0.68,31,3367.0
no response,0.0,0.0,False,1.0,True,False,Church-Yonge Corridor,43.65474,-79.37822,Entire condo,Entire home/apt,2,1.0,1.0,219.0,28,1125,0,0,0,0,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,0.02,25,1805.0
within an hour,0.78,0.99,False,23.0,True,True,South Parkdale,43.64132,-79.43134,Shared room in hostel,Shared room,1,1.0,1.0,44.0,1,1125,3,19,49,324,22,5,1,4.32,4.5,4.05,4.41,4.55,4.59,4.55,True,0.37,29,910.0
no response,0.0,1.0,True,1.0,True,True,Lawrence Park South,43.71186,-79.41072,Entire home,Entire home/apt,6,2.0,3.0,120.0,28,1125,1,1,1,166,103,4,0,4.83,4.9,4.86,4.99,4.97,4.78,4.81,False,1.76,19,3350.0
no response,0.0,1.0,False,10.0,True,True,Lansing-Westgate,43.76089,-79.41176,Private room in home,Private room,2,1.0,1.0,49.0,28,1125,0,0,0,0,63,0,0,4.46,4.7,4.54,4.86,4.81,4.89,4.62,True,1.08,34,3335.0
no response,0.0,1.0,False,10.0,True,True,Lansing-Westgate,43.76026,-79.41436,Private room in home,Private room,2,1.0,1.0,49.0,30,1125,0,0,0,0,40,0,0,4.63,4.75,4.7,4.95,4.9,4.88,4.68,True,0.67,32,3335.0
within a few hours,1.0,0.75,False,2.0,True,True,Clanton Park,43.7375,-79.44495,Entire bungalow,Entire home/apt,5,1.0,4.0,100.0,28,1125,0,0,0,0,6,0,0,4.83,4.83,4.5,4.83,4.83,4.83,4.67,False,0.11,30,1797.0
within an hour,1.0,1.0,True,1.0,True,True,Bay Street Corridor,43.65363,-79.38008,Entire rental unit,Entire home/apt,2,1.0,1.0,77.0,30,1125,2,2,10,99,77,4,0,4.94,4.94,4.9,4.99,5.0,4.97,4.82,False,1.35,34,1668.0
within a few hours,1.0,0.96,False,5.0,True,True,Waterfront Communities-The Island,43.64228,-79.3809,Entire condo,Entire home/apt,2,1.0,1.0,176.0,28,100,0,0,6,96,179,0,0,4.89,4.89,4.93,4.85,4.95,4.95,4.67,False,3.01,43,3351.0
no response,0.0,0.0,False,7.0,True,True,Annex,43.6729,-79.41947,Entire home,Entire home/apt,4,2.0,2.0,82.0,28,1125,0,0,0,0,33,0,0,4.5,4.55,4.85,4.7,4.82,4.64,4.45,False,0.55,29,3257.0
within a day,0.7,0.68,True,5.0,True,False,Trinity-Bellwoods,43.64725,-79.40887,Private room in townhouse,Private room,1,1.0,1.0,65.0,28,1125,0,0,0,132,31,2,0,4.9,4.97,4.9,4.94,5.0,4.94,4.77,False,0.53,39,2508.0
within an hour,1.0,0.98,True,3.0,True,True,University,43.6598,-79.40814,Entire rental unit,Entire home/apt,4,2.0,2.0,94.0,2,1125,1,2,2,2,148,28,2,4.72,4.84,4.57,4.88,4.89,4.8,4.76,True,2.61,27,1437.0
no response,0.0,0.0,False,2.0,True,True,Don Valley Village,43.77594,-79.34365,Entire rental unit,Entire home/apt,4,1.0,2.0,85.0,28,1125,0,0,0,0,28,0,0,4.74,4.74,4.44,4.85,4.85,4.67,4.63,False,0.48,29,1612.0
within an hour,1.0,1.0,False,3.0,True,True,East End-Danforth,43.6829,-79.3043,Entire loft,Entire home/apt,2,1.0,1.0,80.0,1,29,0,0,0,0,129,3,3,4.8,4.87,4.77,4.93,4.96,4.83,4.85,True,2.18,43,2763.0
within an hour,1.0,1.0,True,7.0,True,True,South Riverdale,43.66752,-79.33794,Private room in home,Private room,1,1.0,1.0,59.0,30,365,0,0,0,218,14,2,1,4.86,5.0,4.71,4.93,4.86,4.93,4.86,True,0.26,32,2525.0
no response,0.0,0.0,False,2.0,True,False,Mount Pleasant West,43.6976,-79.39445,Private room in rental unit,Private room,2,1.0,1.0,30.0,28,1125,0,0,0,0,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,0.02,12,3349.0
within a few hours,1.0,1.0,False,2.0,True,True,Wexford/Maryvale,43.74776,-79.30911,Entire home,Entire home/apt,6,3.0,3.0,318.0,3,1125,27,57,87,177,44,10,4,4.48,4.75,4.52,4.91,4.84,4.59,4.48,False,0.81,32,2874.0
a few days or more,0.0,0.0,False,1.0,True,False,Niagara,43.6404,-79.41624,Entire townhouse,Entire home/apt,5,2.0,2.0,342.0,28,28,28,58,88,177,3,0,0,5.0,5.0,4.33,5.0,5.0,5.0,4.67,False,0.05,36,3369.0
no response,0.0,0.0,False,2.0,True,True,Annex,43.67078,-79.38825,Entire condo,Entire home/apt,3,1.0,1.0,125.0,28,120,0,0,0,0,60,0,0,4.84,4.95,4.72,4.83,4.91,4.98,4.78,True,1.02,28,2148.0
